"Cluster Name", "Namespace", "Deployment", "Image", "Image Created"
salsa-cluster,csi-driver-nfs,csi-nfs-node,registry.k8s.io/sig-storage/nfsplugin:v4.7.0,2024-05-06T10:22:28.728794350Z
salsa-cluster,csi-driver-nfs,csi-nfs-node,registry.k8s.io/sig-storage/csi-node-driver-registrar:v2.10.0,2024-01-05T09:13:33.730727993Z
salsa-cluster,jcall,mysql,image-registry.openshift-image-registry.svc:5000/openshift/mysql@sha256:8e9a6595ac9aec17c62933d3b5ecc78df8174a6c2ff74c7f602235b9aef0a340,2024-06-05T11:51:58.516807006Z
salsa-cluster,sonarqube-vulnerable,postgresql-sonarqube,image-registry.openshift-image-registry.svc:5000/openshift/postgresql@sha256:306ce79b5647eb627aebbd6a9c956f9cd09c24ef7b12e42c1de6ba89f8fd8121,2024-05-30T09:38:03.650432972Z
salsa-cluster,openshift-local-storage,diskmaker-manager,registry.redhat.io/openshift4/ose-local-storage-diskmaker-rhel9@sha256:918dd175e7689c0b24a108a4ef6bbaef72ea9397cca075ea4530f62c4e2f19c5,2024-06-20T16:50:30.454358099Z
salsa-cluster,openshift-local-storage,diskmaker-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:518691d157b3e3b5031a2b1e4cc3f415839536079bb8570ae8690ac92d302ba0,2024-06-21T13:56:22.661672123Z
salsa-cluster,openshift-local-storage,diskmaker-discovery,registry.redhat.io/openshift4/ose-local-storage-diskmaker-rhel9@sha256:918dd175e7689c0b24a108a4ef6bbaef72ea9397cca075ea4530f62c4e2f19c5,2024-06-20T16:50:30.454358099Z
salsa-cluster,openshift-local-storage,diskmaker-discovery,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:518691d157b3e3b5031a2b1e4cc3f415839536079bb8570ae8690ac92d302ba0,2024-06-21T13:56:22.661672123Z
salsa-cluster,jcall,simple-php,image-registry.openshift-image-registry.svc:5000/jcall/simple-php@sha256:5427269dfdd90cafbe85e507d766ca5e4b9a31b66540a13654ade8205f6c9e4a,2024-07-02T16:03:45.824498163Z
salsa-cluster,openshift-storage,csi-cephfsplugin-holder-ocs-storagecluster-cephcluster,registry.redhat.io/odf4/cephcsi-rhel9@sha256:29d4f230a21d5fcb4b5ebc288a16aabd00da105ca34856290abee0ad4fe2e888,2024-06-14T16:01:51.587656262Z
salsa-cluster,openshift-storage,csi-rbdplugin-holder-ocs-storagecluster-cephcluster,registry.redhat.io/odf4/cephcsi-rhel9@sha256:29d4f230a21d5fcb4b5ebc288a16aabd00da105ca34856290abee0ad4fe2e888,2024-06-14T16:01:51.587656262Z
salsa-cluster,openshift-operators,devworkspace-controller-manager,registry.redhat.io/devworkspace/devworkspace-rhel8-operator@sha256:dc7560339c8ba5ffa90de8ee855983862a46a85af3e8514f85b395ac99f894bf,2024-05-28T18:44:00.779566168Z
salsa-cluster,openshift-operators,devworkspace-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:76d5672691cdae228592a21accdbd68807276ca4102f047e5da54cb4c87e8a40,2024-05-09T21:03:53.443348499Z
salsa-cluster,openshift-cnv,virt-handler,registry.redhat.io/container-native-virtualization/virt-handler-rhel9@sha256:f32329fdbf3baee0dede5805ec4a30dea6d69c0579e65ed27804bb7e29cfe063,2024-05-06T20:39:02.821007092Z
salsa-cluster,openshift-cnv,kubevirt-console-plugin,registry.redhat.io/container-native-virtualization/kubevirt-console-plugin-rhel9@sha256:55099d6f95757674101aa8eaf8e124a9ba8e659b2051e12eb316dba1d28d0ed4,2024-05-09T07:24:26.125907253Z
salsa-cluster,openshift-cnv,kubemacpool-mac-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:b8160e1bebee2b28e99f22f350967c97c7665b355d6afba6ca5a48b837a0cf8c,2024-04-25T04:20:37.734979677Z
salsa-cluster,openshift-cnv,kubemacpool-mac-controller-manager,registry.redhat.io/container-native-virtualization/kubemacpool-rhel9@sha256:21139ce9b582392d85193b2a0d82e19428fb65d2d9e7c8cef6ce8d64bffc3230,2024-04-18T02:45:45.590144969Z
salsa-cluster,openshift-cnv,ssp-operator,registry.redhat.io/container-native-virtualization/kubevirt-ssp-operator-rhel9@sha256:5316fdef51d7c405c96781a4ed05ca1bc0a02baff16b4d8044129896beadb7ec,2024-05-08T12:49:26.713267056Z
salsa-cluster,demo-hybrid,wordpress-fe,docker.io/library/wordpress:latest,2024-06-24T19:12:59Z
salsa-cluster,openshift-terminal,workspaced5a1d252461d41f3,registry.redhat.io/web-terminal/web-terminal-exec-rhel8@sha256:3ad522b112795b8dd6c973938a427690ea9d0510ecbc94967268976b952089f1,2024-03-27T20:50:10.979671827Z
salsa-cluster,openshift-terminal,workspaced5a1d252461d41f3,registry.redhat.io/web-terminal/web-terminal-tooling-rhel8@sha256:5c74956aa4bf4c05efa299710d1b781ee264b511e22e1d27ca6a214ad4cebaf2,2024-03-20T21:07:28.867817556Z
salsa-cluster,openshift-terminal,workspace9ce2b5f3fef847d5,registry.redhat.io/web-terminal/web-terminal-exec-rhel8@sha256:3ad522b112795b8dd6c973938a427690ea9d0510ecbc94967268976b952089f1,2024-03-27T20:50:10.979671827Z
salsa-cluster,openshift-terminal,workspace9ce2b5f3fef847d5,registry.redhat.io/web-terminal/web-terminal-tooling-rhel8@sha256:5c74956aa4bf4c05efa299710d1b781ee264b511e22e1d27ca6a214ad4cebaf2,2024-03-20T21:07:28.867817556Z
salsa-cluster,openshift-cnv,hyperconverged-cluster-cli-download,registry.redhat.io/container-native-virtualization/virt-artifacts-server-rhel9@sha256:6467058ff9130e492f2b4da39272b944870583b0a1c9d3aa3c4a68dffbb0734e,2024-05-06T20:42:09.883558478Z
salsa-cluster,openshift-nmstate,nmstate-console-plugin,registry.redhat.io/openshift4/nmstate-console-plugin-rhel8@sha256:016f0b57e5ac833aefa2449536b3e598b03f849d5b323c2674e6471c30f698ba,2024-06-26T03:23:56.783866144Z
salsa-cluster,openshift-operators,web-terminal-controller,registry.redhat.io/web-terminal/web-terminal-rhel8-operator@sha256:cd62ad78d72c86b9980257bc0cdc393b2843f4ab93ddae91de6b7c900fda7e3d,2024-03-27T20:58:00.593290864Z
salsa-cluster,openshift-kni-infra,haproxy-rhsvc2.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:8e4450c662710dd560e8fcab932f161e1d3994d67395d2b72dd54f5438ca932f,2024-06-18T11:23:17.004660991Z
salsa-cluster,openshift-kni-infra,haproxy-rhsvc2.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2a42d88e633805d35636ead9396d3e0f3131a589c69cf32a84035e102023846f,2024-06-20T03:59:10.079131082Z
salsa-cluster,openshift-kni-infra,haproxy-rhsvc3.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:8e4450c662710dd560e8fcab932f161e1d3994d67395d2b72dd54f5438ca932f,2024-06-18T11:23:17.004660991Z
salsa-cluster,openshift-kni-infra,haproxy-rhsvc3.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2a42d88e633805d35636ead9396d3e0f3131a589c69cf32a84035e102023846f,2024-06-20T03:59:10.079131082Z
salsa-cluster,openshift-kni-infra,haproxy-rhsvc1.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:8e4450c662710dd560e8fcab932f161e1d3994d67395d2b72dd54f5438ca932f,2024-06-18T11:23:17.004660991Z
salsa-cluster,openshift-kni-infra,haproxy-rhsvc1.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2a42d88e633805d35636ead9396d3e0f3131a589c69cf32a84035e102023846f,2024-06-20T03:59:10.079131082Z
salsa-cluster,openshift-storage,odf-console,registry.redhat.io/odf4/odf-console-rhel9@sha256:32f9a37007f3ffca3d602dac9fb8e075da8ed602a71220dc4a45c82f9066f58c,2024-06-14T16:26:58.695339436Z
salsa-cluster,openshift-ingress,router-default,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:8e4450c662710dd560e8fcab932f161e1d3994d67395d2b72dd54f5438ca932f,2024-06-18T11:23:17.004660991Z
salsa-cluster,openshift-kni-infra,keepalived-rhsvc3.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:cb9546a53b15913a7035e91fbec212347d163bcbfdb4280fed2cfc865bbe7f07,2024-06-14T03:23:03.540841497Z
salsa-cluster,openshift-kni-infra,keepalived-rhsvc3.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2a42d88e633805d35636ead9396d3e0f3131a589c69cf32a84035e102023846f,2024-06-20T03:59:10.079131082Z
salsa-cluster,openshift-kni-infra,keepalived-rhsvc1.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:cb9546a53b15913a7035e91fbec212347d163bcbfdb4280fed2cfc865bbe7f07,2024-06-14T03:23:03.540841497Z
salsa-cluster,openshift-kni-infra,keepalived-rhsvc1.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2a42d88e633805d35636ead9396d3e0f3131a589c69cf32a84035e102023846f,2024-06-20T03:59:10.079131082Z
salsa-cluster,openshift-kni-infra,keepalived-rhsvc2.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:cb9546a53b15913a7035e91fbec212347d163bcbfdb4280fed2cfc865bbe7f07,2024-06-14T03:23:03.540841497Z
salsa-cluster,openshift-kni-infra,keepalived-rhsvc2.redhat.com,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2a42d88e633805d35636ead9396d3e0f3131a589c69cf32a84035e102023846f,2024-06-20T03:59:10.079131082Z
salsa-cluster,demo-hybrid,virt-launcher-wordpress-be-k7rv6,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,demo-hybrid,virt-launcher-wordpress-be-k7rv6,registry.redhat.io/container-native-virtualization/virtio-win-rhel9:latest,2024-04-25T17:54:28.233732638Z
salsa-cluster,openshift-cnv,kube-cni-linux-bridge-plugin,registry.redhat.io/container-native-virtualization/cnv-containernetworking-plugins-rhel9@sha256:ebc19fbffe2697a578806aa44ec7bf837f9bb97e461775e9512960d7ec2d9807,2024-04-18T02:44:45.504955469Z
salsa-cluster,openshift-operators,devworkspace-webhook-server,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:76d5672691cdae228592a21accdbd68807276ca4102f047e5da54cb4c87e8a40,2024-05-09T21:03:53.443348499Z
salsa-cluster,openshift-operators,devworkspace-webhook-server,registry.redhat.io/devworkspace/devworkspace-rhel8-operator@sha256:dc7560339c8ba5ffa90de8ee855983862a46a85af3e8514f85b395ac99f894bf,2024-05-28T18:44:00.779566168Z
salsa-cluster,openshift-storage,noobaa-db-pg,registry.redhat.io/rhel9/postgresql-15@sha256:52915ef6c136e620997d8f5de25cd1feb95756afbf0b389947ff5d454e896ed8,2024-06-06T03:20:12.630910343Z
salsa-cluster,open-cluster-management-agent-addon,application-manager,registry.redhat.io/rhacm2/multicluster-operators-subscription-rhel9@sha256:768dc467db6152f939297ff8b547f47eb3ecb6e9b62ba0bf61f87fba33b44485,2024-05-15T11:23:34.825444929Z
salsa-cluster,kasten-io,gateway,registry.connect.redhat.com/kasten/emissary@sha256:49bdcd3e351343e4d8e27cba4c1a798922ca241e6d133693c3bc728998ea6988,2024-06-28T21:52:55.239736250Z
salsa-cluster,openshift-cnv,cluster-network-addons-operator,registry.redhat.io/container-native-virtualization/cluster-network-addons-operator-rhel9@sha256:f5dd18426adafc06ab12edc6bfa8d1b2737133b4757e8e93657a88d15109337f,2024-04-18T02:46:33.429784045Z
salsa-cluster,openshift-cnv,cluster-network-addons-operator,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:b8160e1bebee2b28e99f22f350967c97c7665b355d6afba6ca5a48b837a0cf8c,2024-04-25T04:20:37.734979677Z
salsa-cluster,kasten-io,crypto-svc,registry.connect.redhat.com/kasten/bloblifecyclemanager@sha256:42f8b403ba37b5ff1ebeff153b98207bdc33e6b579a5a7421f999993c48b054d,2024-06-28T21:49:16.989866893Z
salsa-cluster,kasten-io,crypto-svc,registry.connect.redhat.com/kasten/crypto@sha256:15e00bbbb4e1653407cdc67c1b6de4ddbf39cc3cf32178f1e4214659925a77f4,2024-06-28T21:50:26.923033792Z
salsa-cluster,kasten-io,crypto-svc,registry.connect.redhat.com/kasten/garbagecollector@sha256:72f38b43fb19412473193ec18adce8eb12f29e2c9c427ee76684267dec8dac6a,2024-06-28T21:50:40.195241415Z
salsa-cluster,kasten-io,crypto-svc,registry.connect.redhat.com/kasten/repositories@sha256:471356d14c09980e83861cb5ce1b55d1980a9c78fc062c2e0ea8c8083983df66,null
salsa-cluster,openshift-storage,ocs-metrics-exporter,registry.redhat.io/odf4/ocs-metrics-exporter-rhel9@sha256:b4d1df02b665656abaef1547090b6e9fd3a72b5e684c129c5f0365b977ea3f82,2024-06-14T15:40:50.841666060Z
salsa-cluster,kasten-io,k10-grafana,registry.connect.redhat.com/kasten/grafana@sha256:46c924ed72093bfd4f4f7ad3eec3d80f49d2d2cb3503352efaf874470a1ecd25,2024-06-28T21:51:48.482011832Z
salsa-cluster,openshift-machine-api,metal3,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:f0afd6500ac24aa4f79450a0b6884a6ef20a4c5e3a32b02911f89561e1568d73,2024-06-14T03:02:09.791894013Z
salsa-cluster,kasten-io,k10-kasten-operator-rhmp-controller-manager,quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:e3b505bac492ac954c80c7e74ff6c6a2c2512a5b621814769b4415a22e790ee8,2024-06-18T10:49:09.766525769Z
salsa-cluster,kasten-io,k10-kasten-operator-rhmp-controller-manager,registry.connect.redhat.com/kasten/k10-operator@sha256:05999e89afafab6da64e8f6f317f82bc6355ffbd27501a8b154f6f4e7218eea9,2024-07-01T16:02:27.850765275Z
salsa-cluster,project-app1,virt-launcher-rhel9-app1-4sgc6,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,project-app1,virt-launcher-fedora-app1-5z4kp,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,jcall,virt-launcher-rhel9-lab-net-s97gz,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,jcall,virt-launcher-fedora-apricot-basilisk-48-72hsh,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,jcall,virt-launcher-centos-airgap-hfwhr,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
