"Cluster Name", "Namespace", "Deployment", "Image", "Image Created"
salsa-cluster,openshift-cnv,kubemacpool-mac-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:b8160e1bebee2b28e99f22f350967c97c7665b355d6afba6ca5a48b837a0cf8c,2024-04-25T04:20:37.734979677Z
salsa-cluster,openshift-cnv,kubemacpool-mac-controller-manager,registry.redhat.io/container-native-virtualization/kubemacpool-rhel9@sha256:21139ce9b582392d85193b2a0d82e19428fb65d2d9e7c8cef6ce8d64bffc3230,2024-04-18T02:45:45.590144969Z
salsa-cluster,openshift-cnv,ssp-operator,registry.redhat.io/container-native-virtualization/kubevirt-ssp-operator-rhel9@sha256:5316fdef51d7c405c96781a4ed05ca1bc0a02baff16b4d8044129896beadb7ec,2024-05-08T12:49:26.713267056Z
salsa-cluster,openshift-terminal,workspaced5a1d252461d41f3,registry.redhat.io/web-terminal/web-terminal-exec-rhel8@sha256:3ad522b112795b8dd6c973938a427690ea9d0510ecbc94967268976b952089f1,2024-03-27T20:50:10.979671827Z
salsa-cluster,openshift-terminal,workspaced5a1d252461d41f3,registry.redhat.io/web-terminal/web-terminal-tooling-rhel8@sha256:5c74956aa4bf4c05efa299710d1b781ee264b511e22e1d27ca6a214ad4cebaf2,2024-03-20T21:07:28.867817556Z
salsa-cluster,openshift-terminal,workspace9ce2b5f3fef847d5,registry.redhat.io/web-terminal/web-terminal-exec-rhel8@sha256:3ad522b112795b8dd6c973938a427690ea9d0510ecbc94967268976b952089f1,2024-03-27T20:50:10.979671827Z
salsa-cluster,openshift-terminal,workspace9ce2b5f3fef847d5,registry.redhat.io/web-terminal/web-terminal-tooling-rhel8@sha256:5c74956aa4bf4c05efa299710d1b781ee264b511e22e1d27ca6a214ad4cebaf2,2024-03-20T21:07:28.867817556Z
salsa-cluster,openshift-cnv,hyperconverged-cluster-cli-download,registry.redhat.io/container-native-virtualization/virt-artifacts-server-rhel9@sha256:6467058ff9130e492f2b4da39272b944870583b0a1c9d3aa3c4a68dffbb0734e,2024-05-06T20:42:09.883558478Z
salsa-cluster,openshift-operators,web-terminal-controller,registry.redhat.io/web-terminal/web-terminal-rhel8-operator@sha256:cd62ad78d72c86b9980257bc0cdc393b2843f4ab93ddae91de6b7c900fda7e3d,2024-03-27T20:58:00.593290864Z
salsa-cluster,demo-hybrid,virt-launcher-wordpress-be-k7rv6,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,demo-hybrid,virt-launcher-wordpress-be-k7rv6,registry.redhat.io/container-native-virtualization/virtio-win-rhel9:latest,2024-04-25T17:54:28.233732638Z
salsa-cluster,openshift-cnv,kube-cni-linux-bridge-plugin,registry.redhat.io/container-native-virtualization/cnv-containernetworking-plugins-rhel9@sha256:ebc19fbffe2697a578806aa44ec7bf837f9bb97e461775e9512960d7ec2d9807,2024-04-18T02:44:45.504955469Z
salsa-cluster,openshift-operators,devworkspace-webhook-server,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:76d5672691cdae228592a21accdbd68807276ca4102f047e5da54cb4c87e8a40,2024-05-09T21:03:53.443348499Z
salsa-cluster,openshift-cnv,cluster-network-addons-operator,registry.redhat.io/container-native-virtualization/cluster-network-addons-operator-rhel9@sha256:f5dd18426adafc06ab12edc6bfa8d1b2737133b4757e8e93657a88d15109337f,2024-04-18T02:46:33.429784045Z
salsa-cluster,openshift-cnv,cluster-network-addons-operator,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:b8160e1bebee2b28e99f22f350967c97c7665b355d6afba6ca5a48b837a0cf8c,2024-04-25T04:20:37.734979677Z
salsa-cluster,project-app1,virt-launcher-rhel9-app1-4sgc6,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,project-app1,virt-launcher-fedora-app1-5z4kp,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,jcall,virt-launcher-rhel9-lab-net-s97gz,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,jcall,virt-launcher-fedora-apricot-basilisk-48-72hsh,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,jcall,virt-launcher-centos-airgap-hfwhr,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,pkramp,virt-launcher-fedora-aquamarine-roundworm-38-b6j2r,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
salsa-cluster,openshift-cnv,virt-exportproxy,registry.redhat.io/container-native-virtualization/virt-exportproxy-rhel9@sha256:bd7cc5eea885750947e1161719a92507310a0ad84f1d2ac0cee2f5f08c1a06b8,2024-05-06T20:38:31.213782833Z
salsa-cluster,openshift-cnv,virt-operator,registry.redhat.io/container-native-virtualization/virt-operator-rhel9@sha256:bb329f41c1bfd013d2802d135bd366a315fe8921b3ce9d4b34642680a2c032ce,2024-05-08T12:50:19.717747132Z
salsa-cluster,openshift-cnv,kubevirt-apiserver-proxy,registry.redhat.io/container-native-virtualization/kubevirt-apiserver-proxy-rhel9@sha256:9b564ae8dff451e8db367595f1274f481a6b28ae6595b70b106ce45a0f1e0003,2024-04-18T01:22:55.558779055Z
salsa-cluster,openshift-cnv,virt-api,registry.redhat.io/container-native-virtualization/virt-api-rhel9@sha256:468d7a275870454ea1326e068d4fe03eeaeea9f22449c3d988ae61d875579c7c,2024-05-06T20:38:54.850180938Z
salsa-cluster,openshift-cnv,virt-controller,registry.redhat.io/container-native-virtualization/virt-controller-rhel9@sha256:3fd12cfa4bc6ba8ac056650d5b784869dc0c470a3c660310edfd98a1a073219f,2024-05-06T20:38:58.785079702Z
